Timestamp,Number of people
2018-07-12T21:17:51.482277Z,45
2018-07-12T21:27:58.899202Z,43
2018-07-12T21:38:06.121453Z,36
2018-07-12T21:48:21.560308Z,31
2018-07-12T21:58:29.081818Z,34
2018-07-12T22:08:40.218951Z,35
2018-07-12T22:18:49.026276Z,33
2018-07-12T22:28:56.680720Z,26
2018-07-12T22:39:06.027013Z,22
2018-07-12T22:49:13.848894Z,20
2018-07-12T22:59:21.149145Z,20
2018-07-12T23:09:32.476606Z,20
2018-07-12T23:19:39.968873Z,20
2018-07-12T23:29:47.855097Z,20
2018-07-12T23:39:56.098507Z,20
2018-07-12T23:50:04.094162Z,20
2018-07-13T00:00:12.889063Z,20
2018-07-13T00:10:24.518471Z,20
2018-07-13T00:20:32.132172Z,20
2018-07-13T00:30:40.122268Z,20
2018-07-13T00:42:54.942159Z,20
2018-07-13T10:52:27.721931Z,52
2018-07-13T11:02:35.451907Z,51
2018-07-13T11:12:42.503248Z,49
2018-07-13T11:22:53.456917Z,55
2018-07-13T11:33:00.704433Z,62
2018-07-13T11:43:09.187520Z,65
2018-07-13T11:53:16.635194Z,59
2018-07-13T12:03:24.234515Z,60
2018-07-13T12:13:31.402231Z,63
2018-07-13T12:23:41.925526Z,60
2018-07-13T12:33:49.043652Z,58
2018-07-13T12:43:56.008976Z,47
2018-07-13T12:54:02.974190Z,49
2018-07-13T13:04:11.400985Z,48
2018-07-13T13:14:18.167324Z,50
2018-07-13T13:24:25.310513Z,47
2018-07-13T13:34:32.166003Z,52
2018-07-13T13:44:39.163791Z,54
2018-07-13T13:54:45.958816Z,54
2018-07-13T14:04:52.868319Z,54
2018-07-13T14:15:01.347261Z,57
2018-07-13T14:25:11.864500Z,64
2018-07-13T14:35:18.946455Z,69
2018-07-13T14:45:26.045320Z,64
2018-07-13T14:55:32.824459Z,62
2018-07-13T15:05:39.904736Z,55
2018-07-13T15:15:46.620988Z,52
2018-07-13T15:25:57.065658Z,53
2018-07-13T15:36:03.757505Z,54
2018-07-13T15:46:11.919163Z,59
2018-07-13T15:56:18.902678Z,75
2018-07-13T16:06:26.509022Z,83
2018-07-13T16:16:33.486998Z,80
2018-07-13T16:26:53.172326Z,83
2018-07-13T16:37:00.229389Z,85
2018-07-13T16:47:07.120526Z,85
2018-07-13T16:57:14.487980Z,90
2018-07-13T17:07:21.461037Z,98
2018-07-13T17:17:28.618111Z,106
2018-07-13T17:27:45.203343Z,102
2018-07-13T17:37:52.669612Z,94
2018-07-13T17:47:59.631017Z,84
2018-07-13T17:58:08.463472Z,82
2018-07-13T18:08:15.359070Z,67
2018-07-13T18:18:22.396785Z,64
2018-07-13T18:28:29.639487Z,64
2018-07-13T18:38:37.016274Z,60
2018-07-13T18:48:43.955057Z,61
2018-07-13T18:58:50.695169Z,59
2018-07-13T19:08:57.475884Z,60
2018-07-13T19:19:05.753486Z,61
2018-07-13T19:29:16.602848Z,61
2018-07-13T19:39:23.345879Z,64
2018-07-13T19:49:29.870884Z,59
2018-07-13T19:59:36.820321Z,58
2018-07-13T20:09:43.833578Z,56
2018-07-13T20:19:50.429541Z,53
2018-07-13T20:30:00.826429Z,40
2018-07-13T20:40:08.986590Z,44
2018-07-13T20:50:16.805474Z,39
2018-07-13T21:00:25.000775Z,43
2018-07-13T21:10:33.228754Z,40
2018-07-13T21:20:41.107551Z,34
2018-07-13T21:30:51.596509Z,36
2018-07-13T21:40:58.165841Z,31
2018-07-13T21:51:04.573718Z,27
2018-07-13T22:01:11.597615Z,31
2018-07-13T22:11:19.029671Z,23
2018-07-13T22:21:26.031398Z,20
2018-07-13T22:31:38.514924Z,20
2018-07-13T22:41:45.508058Z,20
2018-07-13T22:51:52.059660Z,20
2018-07-13T23:01:59.909469Z,20
2018-07-13T23:12:06.957149Z,20
2018-07-13T23:22:14.916327Z,20
2018-07-13T23:32:21.779952Z,20
2018-07-13T23:42:28.835843Z,20
2018-07-13T23:52:37.089438Z,20
2018-07-14T00:02:44.202576Z,20
2018-07-14T00:12:51.302753Z,20
2018-07-14T00:22:58.213551Z,20
2018-07-14T00:33:12.007115Z,20
2018-07-14T00:43:18.911500Z,20
2018-07-14T00:53:25.844880Z,20
2018-07-14T01:03:32.989990Z,20
2018-07-14T01:13:39.781297Z,20
2018-07-14T01:23:46.735012Z,20
2018-07-14T01:33:59.628994Z,20
2018-07-14T01:44:06.375904Z,20
2018-07-14T01:54:13.394698Z,20
2018-07-14T02:04:22.185480Z,20
2018-07-14T02:14:35.435411Z,20
2018-07-14T02:24:42.172112Z,20
2018-07-14T02:34:52.905675Z,20
2018-07-14T02:44:59.623333Z,20
2018-07-14T02:55:06.915114Z,20
2018-07-14T03:05:13.750995Z,20
2018-07-14T03:15:23.240552Z,20
2018-07-14T03:25:30.089381Z,20
2018-07-14T03:35:39.968314Z,20
2018-07-14T03:45:46.469492Z,20
2018-07-14T03:55:53.381078Z,20
2018-07-14T04:06:00.307240Z,20
2018-07-14T04:16:06.889246Z,20
2018-07-14T04:26:13.464349Z,20
2018-07-14T04:36:23.256712Z,20
2018-07-14T04:46:29.767943Z,20
2018-07-14T04:56:36.580260Z,20
2018-07-14T05:06:44.153801Z,20
2018-07-14T05:16:55.153006Z,20
2018-07-14T05:27:01.972026Z,20
2018-07-14T05:37:12.964128Z,20
2018-07-14T05:47:20.166767Z,20
2018-07-14T05:57:26.914129Z,20
2018-07-14T06:07:33.852567Z,20
2018-07-14T06:17:40.975832Z,20
2018-07-14T06:27:48.617395Z,20
2018-07-14T06:37:58.729479Z,23
2018-07-14T06:48:07.263203Z,21
2018-07-14T06:58:13.915623Z,29
2018-07-14T07:08:21.243730Z,29
2018-07-14T07:18:27.959703Z,32
2018-07-14T07:28:35.066388Z,47
2018-07-14T07:38:48.250288Z,58
2018-07-14T07:48:55.739621Z,67
2018-07-14T07:59:02.497939Z,70
2018-07-14T08:09:09.873255Z,77
2018-07-14T08:19:17.175127Z,89
2018-07-14T08:29:25.933597Z,101
2018-07-14T08:40:46.874422Z,101
2018-07-14T08:50:54.199459Z,104
2018-07-14T09:01:01.057210Z,106
2018-07-14T09:11:08.444855Z,98
2018-07-14T09:21:16.894453Z,97
2018-07-14T09:31:23.513977Z,77
2018-07-14T09:41:34.675341Z,88
2018-07-14T09:51:41.528755Z,94
2018-07-14T10:01:48.142022Z,108
2018-07-14T10:11:56.214091Z,103
2018-07-14T10:22:03.163565Z,105
2018-07-14T10:32:10.714646Z,92
2018-07-14T10:42:17.547450Z,99
2018-07-14T10:52:23.965708Z,99
2018-07-14T11:02:34.205284Z,90
2018-07-14T11:12:42.114198Z,89
2018-07-14T11:22:48.776603Z,89
2018-07-14T11:32:55.812198Z,89
2018-07-14T11:43:06.616290Z,93
2018-07-14T11:53:16.709589Z,66
2018-07-14T12:03:28.200467Z,60
2018-07-14T12:13:34.860097Z,64
2018-07-14T12:23:41.994335Z,64
2018-07-14T12:33:48.727081Z,61
2018-07-14T12:43:59.228945Z,61
2018-07-14T12:54:11.676395Z,57
2018-07-14T13:04:18.384341Z,53
2018-07-14T13:14:26.819416Z,44
2018-07-14T13:24:34.750895Z,43
2018-07-14T13:34:41.687124Z,43
2018-07-14T13:44:48.383448Z,42
2018-07-14T13:54:55.396246Z,40
2018-07-14T14:05:02.046226Z,46
2018-07-14T14:15:10.475816Z,38
2018-07-14T14:25:17.610755Z,39
2018-07-14T14:35:24.453951Z,43
2018-07-14T14:45:31.533812Z,41
2018-07-14T14:55:38.805644Z,32
2018-07-14T15:05:46.113017Z,31
2018-07-14T15:15:53.387791Z,35
2018-07-14T15:26:00.326170Z,32
2018-07-14T15:36:07.630916Z,36
2018-07-14T15:46:20.860207Z,31
2018-07-14T15:56:27.462836Z,36
2018-07-14T16:06:34.352934Z,40
2018-07-14T16:16:44.689875Z,42
2018-07-14T16:26:53.634850Z,46
2018-07-14T16:37:03.247200Z,50
2018-07-14T16:47:20.752733Z,50
2018-07-14T16:57:27.508948Z,53
2018-07-14T17:07:35.597895Z,56
2018-07-14T17:17:43.717392Z,46
2018-07-14T17:27:51.007944Z,43
2018-07-14T17:37:57.857391Z,45
2018-07-14T17:48:09.748533Z,47
2018-07-14T17:58:17.272629Z,42
2018-07-14T18:08:25.350671Z,35
2018-07-14T18:18:32.510303Z,35
2018-07-14T18:28:39.298342Z,33
2018-07-14T18:38:46.152488Z,31
2018-07-14T18:48:53.197799Z,34
2018-07-14T18:59:00.262134Z,29
2018-07-14T19:09:12.448165Z,30
2018-07-14T19:19:19.642126Z,31
2018-07-14T19:29:26.182157Z,33
2018-07-14T19:39:32.794119Z,32
2018-07-14T19:49:43.410995Z,30
2018-07-14T19:59:50.350172Z,22
2018-07-14T20:09:56.468526Z,23
2018-07-14T20:20:03.674688Z,26
2018-07-14T20:30:10.614452Z,28
2018-07-14T20:40:17.214391Z,29
2018-07-14T20:50:23.783071Z,26
2018-07-14T21:00:30.472721Z,26
2018-07-14T21:10:37.643327Z,20
2018-07-14T21:20:45.016275Z,24
2018-07-14T21:30:51.767722Z,23
2018-07-14T21:40:58.581511Z,21
2018-07-14T21:51:09.619257Z,20
2018-07-14T22:01:16.349956Z,20
2018-07-14T22:11:23.093832Z,20
2018-07-14T22:21:33.142081Z,20
2018-07-14T22:31:40.073279Z,20
2018-07-14T22:41:47.244270Z,20
2018-07-14T22:51:58.591038Z,20
2018-07-14T23:02:05.668534Z,20
2018-07-14T23:12:12.679965Z,20
2018-07-14T23:22:19.668251Z,20
2018-07-14T23:32:26.152923Z,20
2018-07-14T23:42:32.878167Z,20
2018-07-14T23:52:43.867522Z,20
2018-07-15T00:02:50.725123Z,20
2018-07-15T00:12:57.538554Z,20
2018-07-15T00:23:09.184441Z,20
2018-07-15T00:33:15.834303Z,20
2018-07-15T00:43:22.370044Z,20
2018-07-15T00:53:32.731254Z,20
2018-07-15T01:03:39.520466Z,20
2018-07-15T01:13:46.173208Z,20
2018-07-15T01:23:53.213087Z,20
2018-07-15T01:34:06.768905Z,20
2018-07-15T01:44:13.332247Z,20
2018-07-15T01:54:28.394575Z,20
2018-07-15T02:04:35.411875Z,20
2018-07-15T02:14:41.977380Z,20
2018-07-15T02:24:49.508917Z,20
2018-07-15T02:35:02.914294Z,20
2018-07-15T02:45:11.113109Z,20
2018-07-15T02:55:21.173934Z,20
2018-07-15T03:05:27.994085Z,20
2018-07-15T03:15:34.717254Z,20
2018-07-15T03:25:43.221169Z,20
